tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_count,barrio_te
apartamento,4000000,100.0,2,2,1,Lalinde,6.212134,-75.56751,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-linde-2-habitaciones-2-banos-1-garajes/MC6132687,5,20.0,50.0,10000.0,1,1,55648.79272697397,1030855.6097560975,4515500.0,79.49827532424852,4.380341880341881,81.1428205128205,18.52431219512195,150,
apartamento,3448877,70.0,3,2,1,San Diego,6.23332,-75.56879,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-diego-3-habitaciones-2-banos-1-garajes/11166-M6331517,6,11.666666666666666,23.333333333333332,4900.0,1,1,48718.27488321955,695297.2256410257,3766193.3055555555,69.5975355474565,5.416666666666666,77.30555555555554,14.271794871794873,96,
apartamento,2000000,46.0,1,1,0,Villa Nueva,6.25627,-75.56548,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-centro-1-habitaciones-1-banos/11166-M6443869,2,23.0,46.0,2116.0,0,0,27859.922178988327,397777.77777777775,2386666.6666666665,39.79988882712618,6.0,85.66666666666666,14.277777777777777,3,
apartamento,4500000,76.0,2,2,1,Villa Carlota,6.2244935,-75.57431,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-2-habitaciones-2-banos-1-garajes/MC6447696,5,15.2,38.0,5776.0,1,1,55077.373494113235,766566.5722379603,3656729.7297297297,78.68196213444747,4.77027027027027,66.39259459459458,13.91799433427762,296,
apartamento,3000000,90.0,3,2,0,Villa Carlota,6.2202911376953125,-75.56949615478516,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-2-banos/16549-M6455076,5,18.0,30.0,8100.0,0,0,55077.373494113235,766566.5722379603,3656729.7297297297,78.68196213444747,4.77027027027027,66.39259459459458,13.91799433427762,296,
apartamento,1800000,48.0,2,1,0,Boston,6.24936,-75.56012,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-boston-2-habitaciones-1-banos/11166-M5791642,3,16.0,24.0,2304.0,0,0,29860.302677532014,582954.5454545454,6412500.0,42.65757525361716,11.0,214.75,19.52272727272727,8,
apartamento,2500000,73.0,3,2,1,El Rincón,6.206574,-75.60178,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-rincon-3-habitaciones-2-banos-1-garajes/MC6470705,6,12.166666666666666,24.333333333333332,5329.0,1,1,37803.06059394424,480000.0,3120000.0,54.0043722770632,6.5,82.533,12.697384615384616,12,
apartamento,5500000,90.33,3,3,2,Villa Carlota,6.2207284,-75.574585,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-villa-carlota-3-habitaciones-3-banos-2-garajes/MC6454682,8,11.29125,30.11,8159.5089,4,1,55077.373494113235,766566.5722379603,3656729.7297297297,78.68196213444747,4.77027027027027,66.39259459459458,13.91799433427762,296,
apartamento,5000000,78.0,2,2,1,Asomadera No.2,6.2195516,-75.56306,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no.-2-2-habitaciones-2-banos-1-garajes/MC6471954,5,15.6,39.0,6084.0,1,1,48368.178983649144,834368.9320388349,3978703.703703704,69.09739854807022,4.768518518518519,82.25870370370372,17.250368932038835,76,
apartamento,4800000,110.0,2,2,2,El Tesoro,6.203638,-75.5541,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-tesoro-2-habitaciones-2-banos-2-garajes/MC6271467,6,18.333333333333332,55.0,12100.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
casa,14000000,225.0,4,5,2,El Tesoro,6.2005904671,-75.5604065287,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/20775-M6029072,11,20.454545454545453,56.25,50625.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,4700000,188.0,3,3,2,El Tesoro,6.20308780670166,-75.55728912353516,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M2081576,8,23.5,62.666666666666664,35344.0,4,1,49096.0999682076,1080169.608501594,4303300.599491956,70.137285668868,3.983911939034716,87.65055884843353,22.00112858660999,563,
apartamento,8500000,162.0,3,4,3,Los Naranjos,6.199733734130859,-75.56306457519531,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-4-banos-3-garajes/687-M6388388,10,16.2,54.0,26244.0,9,1,53191.79337828114,954885.145482389,3779030.303030303,75.98827625468734,3.9575757575757575,71.04536363636365,17.951738131699848,186,
casa,10400000,280.0,4,4,3,Alejandría,6.199781894683838,-75.56996154785156,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-alejandria-4-habitaciones-4-banos-3-garajes/687-M5380176,11,25.454545454545453,70.0,78400.0,9,1,50327.58429434977,956401.826755297,3908419.689303905,71.89654899192824,4.086587436332767,77.65959252971138,19.003531366846698,338,
apartamento,2900000,58.0,3,2,1,San Cristóbal,6.2674027992,-75.6087265118,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-3-habitaciones-2-banos-1-garajes/21650-M6473275,6,9.666666666666666,19.333333333333332,3364.0,1,1,46179.21935129192,631578.947368421,3230769.230769231,65.97031335898845,5.115384615384616,69.96153846153847,13.676691729323307,22,
