barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
Laureles,LORENA,2600000,52.0,3,2,1,Apartamento,6.2494925,-75.601235,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-2-banos-1-garajes/21388-M6410336
Laureles,LAURELES,7800000,200.0,5,3,1,Casa,6.23996,-75.60196,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-laureles-5-habitaciones-3-banos-1-garajes/17017-M6138486
El Poblado,EL POBLADO,14000000,252.0,4,5,2,Casa,6.20035,-75.56032,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-4-habitaciones-5-banos-2-garajes/17017-M6395338
EL POBLADO,SANTA MARIA DE LOS ANGELES,5000000,126.0,3,2,2,Apartamento,6.186334609985352,-75.57952117919922,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-maria-de-los-angeles-3-habitaciones-2-banos-2-garajes/20692-M6095608
Las Palmas,LAS PALMAS,28500000,455.0,3,4,4,Casa,6.1538929,-75.5383544,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-3-habitaciones-4-banos-4-garajes/17267-M6391136
Loma Los Bernal,LOMA LOS BERNAL,2600000,60.0,3,2,1,Apartamento,6.2189536,-75.6074419,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-loma-los-bernal-3-habitaciones-2-banos-1-garajes/16509-M6448520
Medellin,MEDELLIN,9000000,240.0,5,5,3,Apartamento,6.1799393,-75.5694847,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-5-habitaciones-5-banos-3-garajes/11813-M6448171
Medellin,MEDELLIN,9000000,85.0,3,2,1,Apartamento,6.1957572,-75.5734831,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos-1-garajes/11813-M6212052
Medellin,MEDELLIN,9100000,265.0,4,5,4,Apartamento,6.2009649,-75.5585315,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-4-habitaciones-5-banos-4-garajes/11813-M6172400
Medellin,MEDELLIN,9100000,164.0,4,4,2,Apartamento,6.2086332,-75.5557588,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-4-habitaciones-4-banos-2-garajes/11813-M6173745
San Lucas,SAN LUCAS,16000000,200.0,5,5,2,Apartamento,6.1872346878,-75.5679966515,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-5-habitaciones-5-banos-2-garajes/20775-M6321347
Sector El Tesoro,SECTOR EL TESORO,18000000,1100.0,4,3,4,Casa,6.1936846569,-75.5601376954,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-sector-el-tesoro-4-habitaciones-3-banos-4-garajes/20775-M6465508
EL POBLADO,ALEJANDRIA,5700000,64.0,2,2,1,Apartamento,6.199296951293945,-75.56919860839844,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-alejandria-2-habitaciones-2-banos-1-garajes/687-M5456745
EL POBLADO,EL TESORO,4700000,188.0,3,3,2,Apartamento,6.20308780670166,-75.55728912353516,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-3-banos-2-garajes/687-M2081576
EL POBLADO,SAN LUCAS,5600000,210.0,3,3,3,Apartamento,6.177539825439453,-75.5631103515625,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-san-lucas-3-habitaciones-3-banos-3-garajes/687-M2094647
EL POBLADO,NA,40500000,635.0,4,5,2,Casa,6.203668594360352,-75.5448989868164,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-na-4-habitaciones-5-banos-2-garajes/687-M5561349
EL POBLADO,LOS BALSOS NO 1,10000000,108.0,2,3,2,Apartamento,6.1868977546691895,-75.56021881103516,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.1-2-habitaciones-3-banos-2-garajes/687-M5722945
