iter	RMSE
0	0.4005889872
1	0.3807609037
2	0.3623544624
3	0.3468974826
4	0.3333099883
5	0.3212317967
6	0.3109414096
7	0.3009873269
8	0.2931461207
9	0.2869014398
10	0.2809640838
11	0.275951592
12	0.2713673371
13	0.2679488439
14	0.2647924553
15	0.262053205
16	0.2597741914
17	0.2576362634
18	0.2557539201
19	0.2542243377
20	0.2529013288
21	0.2514931566
22	0.2503018443
23	0.2490985014
24	0.2480795617
25	0.2473950486
26	0.2466333001
27	0.2458862677
28	0.2454011381
29	0.2448964369
30	0.2444419221
31	0.2439039837
32	0.2434276607
33	0.2429889158
34	0.2426073544
35	0.2422443657
36	0.2418890935
37	0.2416044107
38	0.2414381745
39	0.2411861709
40	0.2407584053
41	0.2405889004
42	0.2404484997
43	0.240250985
44	0.2400007806
45	0.2396429427
46	0.2395026185
47	0.2394098095
48	0.2390536686
49	0.2388980231
50	0.2387897537
51	0.2385889565
52	0.2385644764
53	0.2383510734
54	0.2381886321
55	0.2379970931
56	0.2378843204
57	0.2377128671
58	0.237608095
59	0.237360477
60	0.237131805
61	0.2368909958
62	0.2368260581
63	0.2367176387
64	0.2365951844
65	0.2363882162
66	0.2361129617
67	0.2359582078
68	0.2358517876
69	0.23575582
70	0.2355766637
71	0.2354670579
72	0.2352025852
73	0.2349542504
74	0.2348223589
75	0.2346753825
76	0.2346217039
77	0.2345020844
78	0.2341735374
79	0.2340547833
80	0.2338689593
81	0.2337930583
82	0.2334770112
83	0.2333081668
84	0.2331651189
85	0.2330541769
86	0.2328721849
87	0.2327682277
88	0.2326531178
89	0.2324453384
90	0.2322546327
91	0.2320167961
92	0.2318896562
93	0.2318071293
94	0.231652105
95	0.2315486296
96	0.2314272494
97	0.2313055649
98	0.2312493673
99	0.231110371
100	0.2309723199
101	0.2308319375
102	0.2307606188
103	0.2306626873
104	0.2305558129
105	0.2303918584
106	0.2303197353
107	0.2300416787
108	0.2299049982
109	0.2297513363
110	0.2295971598
111	0.229506623
112	0.2293342909
113	0.2291125015
114	0.2289914619
115	0.2288097569
116	0.228737706
117	0.2287034672
118	0.2286471378
119	0.2285928956
120	0.2284925231
121	0.2284500861
122	0.2283680551
123	0.2282668829
124	0.2281524308
125	0.2280801046
126	0.2279368759
127	0.2278387568
128	0.2276962959
129	0.2276319329
130	0.2275324823
131	0.2274448987
132	0.2274002596
133	0.2272013937
134	0.2270013018
135	0.2268862468
136	0.226670757
137	0.2264918292
138	0.2262279472
139	0.2261125785
140	0.2260254107
141	0.2259676422
142	0.2258389001
143	0.2256761892
144	0.2255849415
145	0.2254174387
146	0.2252500669
147	0.2251234408
148	0.2249809578
149	0.2248287994
150	0.2245306528
151	0.2244926989
152	0.2244049322
153	0.224319286
154	0.2242998641
155	0.2241633371
156	0.2239371584
157	0.2238468608
158	0.2236798558
159	0.2235387401
160	0.2234693823
161	0.2233515032
162	0.223171255
163	0.223122945
164	0.2228546124
165	0.2227222741
166	0.2225540069
167	0.2224831628
168	0.2223249864
169	0.2221701787
170	0.2220843134
171	0.2219288112
172	0.2217770921
173	0.2217115386
174	0.2215725248
175	0.2214322758
176	0.2213083268
177	0.2212121388
178	0.2211324076
179	0.2210284746
180	0.2209193204
181	0.2208147017
182	0.2207473378
183	0.2207015086
184	0.2206431073
185	0.2205628222
186	0.2204408935
187	0.2203208627
188	0.2201996703
189	0.2200938073
190	0.2199645485
191	0.2198563497
192	0.2197729611
193	0.2196867153
194	0.2196420671
195	0.2195744546
196	0.2194286508
197	0.2193549978
198	0.2192259367
199	0.2191560326
