iter	Passed	Remaining
0	1	1368
1	3	1229
2	4	1196
3	6	1186
4	7	1176
5	9	1153
6	10	1143
7	12	1136
8	13	1125
9	15	1149
10	17	1147
11	18	1145
12	20	1143
13	21	1139
14	23	1134
15	24	1137
16	26	1132
17	27	1128
18	29	1125
19	31	1126
20	32	1128
21	34	1124
22	35	1123
23	37	1118
24	38	1115
25	40	1112
26	41	1108
27	43	1104
28	45	1129
29	47	1136
30	49	1136
31	50	1134
32	52	1131
33	53	1127
34	55	1123
35	56	1119
36	58	1119
37	59	1116
38	61	1117
39	63	1119
40	64	1115
41	66	1112
42	67	1110
43	69	1107
44	70	1105
45	72	1102
46	74	1101
47	75	1097
48	76	1094
49	78	1094
50	80	1092
51	81	1090
52	83	1091
53	85	1091
54	86	1090
55	88	1090
56	90	1087
57	91	1085
58	93	1082
59	94	1081
60	96	1078
61	97	1075
62	99	1073
63	100	1071
64	102	1070
65	103	1069
66	105	1068
67	106	1066
68	108	1064
69	110	1064
70	111	1062
71	113	1059
72	114	1058
73	116	1056
74	117	1055
75	119	1052
76	121	1051
77	122	1049
78	124	1048
79	125	1048
80	127	1048
81	129	1045
82	130	1044
83	132	1042
84	133	1041
85	135	1039
86	136	1036
87	138	1035
88	140	1035
89	141	1033
90	143	1030
91	144	1028
92	146	1026
93	147	1024
94	149	1021
95	150	1018
96	151	1015
97	153	1013
98	154	1011
99	156	1011
100	158	1009
101	159	1008
102	161	1007
103	162	1005
104	164	1004
105	165	1002
106	167	999
107	168	997
108	170	994
109	171	991
110	173	990
111	174	989
112	177	992
113	178	991
114	180	989
115	181	987
116	183	985
117	184	983
118	186	982
119	187	979
120	189	977
121	191	977
122	192	975
123	194	973
124	195	971
125	197	969
126	198	968
127	200	967
128	201	964
129	203	963
130	204	961
131	206	959
132	207	957
133	209	956
134	210	953
135	212	951
136	213	949
137	215	947
138	216	945
139	217	943
140	219	941
141	220	939
142	222	937
143	223	934
144	224	932
145	226	930
146	227	927
147	229	925
148	230	923
149	231	921
150	233	919
151	234	917
152	236	915
153	237	913
154	239	911
155	240	910
156	242	908
157	243	906
158	244	904
159	246	902
160	247	900
161	249	898
162	250	896
163	252	895
164	253	893
165	255	891
166	256	889
167	257	887
168	259	885
169	260	884
170	262	882
171	264	881
172	265	879
173	267	878
174	268	876
175	270	874
176	271	872
177	272	870
178	274	868
179	275	866
180	277	864
181	278	863
182	279	861
183	281	858
184	282	856
185	283	854
186	285	852
187	286	851
188	288	849
189	289	847
190	291	845
191	292	843
192	293	841
193	295	840
194	296	838
195	298	836
196	299	834
197	300	832
198	302	830
199	303	828
200	304	826
201	306	824
202	307	822
203	308	820
204	310	818
205	311	816
206	312	814
207	314	813
208	315	811
209	317	809
210	318	807
211	319	805
212	321	803
213	322	801
214	323	799
215	325	798
216	326	796
217	327	794
218	329	792
219	330	791
220	332	789
221	333	787
222	335	785
223	336	784
224	337	782
225	339	780
226	340	778
227	341	776
228	343	775
229	344	773
230	345	771
231	347	769
232	348	767
233	350	765
234	351	764
235	353	762
236	354	761
237	355	759
238	357	757
239	358	756
240	360	754
241	361	752
242	362	751
243	364	749
244	365	747
245	367	746
246	368	745
247	370	743
248	371	741
249	372	740
250	374	738
251	375	736
252	377	734
253	378	733
254	380	731
255	381	730
256	383	729
257	385	728
258	386	727
259	388	725
260	389	723
261	390	721
262	392	720
263	393	718
264	395	717
265	396	715
266	398	714
267	399	712
268	400	710
269	402	709
270	403	707
271	405	706
272	406	704
273	408	703
274	409	701
275	411	700
276	412	698
277	413	696
278	415	695
279	416	693
280	418	692
281	419	690
282	420	688
283	422	687
284	423	685
285	426	685
286	428	685
287	430	684
288	431	682
289	432	680
290	434	679
291	435	677
292	437	675
293	438	674
294	440	672
295	441	671
296	442	669
297	444	667
298	445	666
299	447	664
300	448	662
301	449	661
302	451	659
303	452	658
304	454	656
305	455	655
306	456	653
307	458	651
308	459	650
309	461	648
310	462	647
311	464	645
312	465	643
313	466	642
314	468	640
315	469	639
316	471	638
317	472	636
318	474	634
319	475	633
320	476	631
321	478	629
322	479	628
323	480	626
324	482	624
325	483	623
326	485	621
