barrio,precio,area,habitaciones,baños,parqueaderos,telefono,url,tipo,latitud,longitud,barrio_1
los colores,3500000,137.0,3,2,1,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-colores-3-habitaciones-2-banos-1-garajes/11166-M6075650,Apartamento,6.26864,-75.59509,los colores
cordoba,1950000,85.0,4,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-cordoba-4-habitaciones-1-banos/11166-M6075754,Casa,6.2809,-75.57741,cordoba
aguacatala,13000000,430.0,5,5,2,3106308019,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-la-aguacatala-5-habitaciones-5-banos-2-garajes/13934-M5974716,Casa,6.19613483,-75.57759034,la aguacatala
santa monica,1900000,87.0,3,2,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-santa-monica-3-habitaciones-2-banos/11166-M6075913,Apartamento,6.25107,-75.60875,santa monica
el diamante,2300000,70.0,3,2,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-3-habitaciones-2-banos/11166-M6023094,Apartamento,6.28329,-75.5873,el diamante
robledo,1450000,55.0,3,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-robledo-3-habitaciones-1-banos/11166-M6023086,Apartamento,6.28576,-75.61266,robledo
boston,1200000,60.0,2,1,0,3105064343,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-boston-2-habitaciones-1-banos/11166-M6022035,Apartamento,6.24619,-75.55338,boston
robledo,1500000,58.0,3,2,1,6044449331,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-nazareth-3-habitaciones-2-banos-1-garajes/12257-M6085977,Apartamento,6.28638683,-75.60918596,nazareth
los laureles   centro,4000000,97.5,3,2,2,3137397749,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-laureles-3-habitaciones-2-banos-2-garajes/MC6085469,Apartamento,6.2419147,-75.5931,laureles
alto de las palmas,3900000,65.0,2,2,1,3116709569,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-2-habitaciones-2-banos-1-garajes/19861-M6082585,Apartamento,6.224160194396973,-75.56193542480469,asomadera no2
el poblado,21500000,355.0,3,4,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-4-banos-4-garajes/687-M5701786,Casa,6.201934337615967,-75.55345153808594,el tesoro
calasanz,2800000,54.0,2,2,1,3155655073,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-calasanz-2-habitaciones-2-banos-1-garajes/19795-M5691390,Apartamento,6.264897,-75.6083195,calasanz
laureles,3300000,83.0,2,2,1,3176350447,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-carlos-e-restrepo-2-habitaciones-2-banos-1-garajes/12116-M5701714,Apartamento,6.256511688232422,-75.57665252685547,carlos e restrepo
el poblado,11000000,110.0,1,1,1,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-1-habitaciones-1-banos-1-garajes/18975-M5609044,Apartamento,6.2087291,-75.5503474,altos del poblado
poblado,15000000,129.0,3,4,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-castropol-3-habitaciones-4-banos-2-garajes/20543-M6073905,Apartamento,6.21929378,-75.56801532,castropol
el poblado,5300000,155.0,3,3,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-no.2-3-habitaciones-3-banos-2-garajes/687-M5424933,Apartamento,6.194789886474609,-75.56903839111328,los balsos no 2
el poblado,10800000,167.0,3,4,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5345026,Apartamento,6.183346271514893,-75.57118225097656,el diamante no 2
poblado san lucas,22500000,510.0,3,4,2,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-poblado-san-lucas-3-habitaciones-4-banos-2-garajes/20765-M6015148,Casa,6.1806623,-75.5624414,poblado san lucas
el poblado,8450000,220.0,3,4,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-naranjos-3-habitaciones-4-banos-2-garajes/687-M6087594,Apartamento,6.197387218475342,-75.5653076171875,los naranjos
envigado,10500000,145.0,2,3,1,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-la-avanzada-2-habitaciones-3-banos-1-garajes/18975-M5824947,Apartamento,6.29321295,-75.53933483,la avanzada
el poblado,9100000,167.0,3,4,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-diamante-no.2-3-habitaciones-4-banos-3-garajes/687-M5345035,Apartamento,6.183346271514893,-75.57118225097656,el diamante no 2
el poblado,16600000,250.0,3,3,3,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-3-habitaciones-3-banos-3-garajes/687-M6088701,Casa,6.20414924621582,-75.55548858642578,el tesoro
el poblado,21000000,230.0,3,4,3,3006864693,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-colombia-3-habitaciones-4-banos-3-garajes/18975-M5583440,Apartamento,6.2276352957,-75.5718183517,colombia
poblado,5000000,110.0,3,2,1,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-2-banos-1-garajes/20765-M6019651,Apartamento,6.1949017884,-75.5698657036,poblado
el poblado,22800000,500.0,5,5,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-5-habitaciones-5-banos-2-garajes/687-M6087302,Apartamento,6.216073513031006,-75.5613021850586,asomadera no2
el poblado,18000000,500.0,5,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-poblado-5-habitaciones-5-banos-4-garajes/19797-M6079394,Casa,6.1961177318,-75.555961132,el poblado
el poblado,18000000,375.0,4,5,4,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-tesoro-4-habitaciones-5-banos-4-garajes/687-M6088004,Casa,6.20415735244751,-75.55551147460938,el tesoro
envigado,11000000,160.0,3,2,2,3005038525,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-esmeraldal-3-habitaciones-2-banos-2-garajes/20543-M6075298,Casa,6.16972302,-75.5719868,el esmeraldal
poblado,6000000,85.0,2,2,1,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-2-habitaciones-2-banos-1-garajes/19797-M6086761,Apartamento,6.2143852,-75.5567748,poblado
palmas,45000000,1550.0,4,5,4,3052876430,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-palmas-4-habitaciones-5-banos-4-garajes/20765-M6017242,Casa,6.2386625,-75.564787,palmas
el poblado,30800000,500.0,5,5,2,6044485859,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-asomadera-no2-5-habitaciones-5-banos-2-garajes/687-M6087278,Apartamento,6.216756343841553,-75.56126403808594,asomadera no2
calasanz parte alta,2250000,57.0,3,2,1,3196727803,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-alcazares-3-habitaciones-2-banos-1-garajes/16115-M6034913,Apartamento,6.261290550231934,-75.60391235351562,los alcazares
medellin,3400000,87.0,3,2,1,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos-1-garajes/11813-M6020362,Apartamento,6.2613011,-75.5973567,medellin
poblado la frontera,9950000,106.0,3,2,2,6044446835,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-3-habitaciones-2-banos-2-garajes/16740-M5530342,Apartamento,0.0,0.0,
laureles,17000000,600.0,5,3,0,3013421846,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-laureles-5-habitaciones-3-banos/11530-M6085638,Casa,6.246761798858643,-75.5986557006836,laureles
medellin,3500000,68.0,3,2,1,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-shellmar-3-habitaciones-2-banos-1-garajes/11813-M5746903,Apartamento,6.2226615,-75.5774838,shellmar
medellin,3200000,85.0,3,2,0,6015800983,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-medellin-3-habitaciones-2-banos/11813-M5965769,Apartamento,6.2535459,-75.5973513,medellin
san lucas,25000000,308.0,3,3,2,3152227299,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/2328-M4061033,Casa,6.1785054206848145,-75.56047821044922,san lucas
los balsos,4600000,110.0,3,2,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-los-balsos-3-habitaciones-2-banos-2-garajes/11224-M6070847,Apartamento,6.1943074508,-75.5702398294,los balsos
las palmas,40000000,680.0,3,5,4,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-las-palmas-3-habitaciones-5-banos-4-garajes/2671-M5965857,Casa,6.15713,-75.55255,las palmas
el retiro,16000000,367.67,4,5,2,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-el-retiro-4-habitaciones-5-banos-2-garajes/2671-M5812021,Casa,6.056842,-75.503862,el retiro
poblado alto,6700000,107.0,2,3,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/11224-M5750605,Apartamento,6.2166084615,-75.5559408077,altos del poblado
san lucas,4500000,128.0,3,3,2,3234597770,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-san-lucas-3-habitaciones-3-banos-2-garajes/11224-M5941951,Apartamento,6.1833708,-75.56984891,san lucas
los balsos,58700000,959.32,5,5,2,3208626266,https://www.metrocuadrado.com/inmueble/arriendo-casa-medellin-los-balsos-5-habitaciones-5-banos-2-garajes/2671-M5812213,Casa,6.18271,-75.553667,los balsos
poblado,9000000,180.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-3-habitaciones-3-banos-2-garajes/14894-M6087271,Apartamento,6.1919839,-75.5718804,poblado
poblado,11500000,300.0,4,4,3,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-poblado-4-habitaciones-4-banos-3-garajes/14894-M5551430,Apartamento,6.2190777,-75.5689478,poblado
el poblado,9000000,143.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5740065,Apartamento,6.2170204,-75.553838,el poblado
el poblado,20000000,380.0,2,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-2-habitaciones-3-banos-2-garajes/14894-M5769587,Apartamento,6.1821462,-75.5657193,el poblado
el poblado,9500000,140.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5740074,Apartamento,6.2170204,-75.553838,el poblado
el poblado,9000000,120.0,3,3,2,3332410909,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-el-poblado-3-habitaciones-3-banos-2-garajes/14894-M5975214,Apartamento,6.2170204,-75.553838,el poblado
laureles   nororiente,6000000,96.0,3,4,1,3022005705,https://www.metrocuadrado.com/inmueble/arriendo-apartamento-medellin-lorena-3-habitaciones-4-banos-1-garajes/MC5943186,Apartamento,6.2486978,-75.59433,lorena
