tipo,precio,area,habitaciones,baños,parqueaderos,nombre,latitud,longitud,url,espacios,axe,axh,axa,parq2,garaje_bin,ppmc,pppz,pppp,new_index,pppp/pppz,pppp/ppmc,pppz/ppmc,barrio_te
apartamento,1056319834,99.8,3,3,1,barrio colombia,6.228054,-75.57034,https://www.metrocuadrado.com/proyecto/avenida-central/16771-C0023-02,7,14.257142857142856,33.266666666666666,9960.039999999999,1,1,8970879.488071425,176839102.68571427,825249145.8666667,60.108933506784886,4.666666666666667,91.99200000000002,19.71257142857143,20.709838089066565
apartamento,947005000,96.0,3,2,1,san diego,6.2290535,-75.569664,https://www.metrocuadrado.com/proyecto/poblado-central/16771-C0024-03,6,16.0,32.0,9216.0,1,1,7512478.35684561,110751444.73312883,582338241.6612903,50.336988990125434,5.258064516129032,77.51612903225806,14.742331288343557,20.25935448952592
apartamento,1016800000,64.0,2,2,0,villa carlota,6.21863,-75.57319,https://www.metrocuadrado.com/proyecto/arrayan/17855-C0036-04,4,16.0,32.0,4096.0,0,0,9860972.513248164,143798071.89642859,735405664.4931507,66.07295771827317,5.114155251141552,74.57739726027398,14.582544642857146,20.518777670719466
apartamento,2276426049,155.0,3,4,1,el castillo,6.191648333796311,-75.5752393897273,https://www.metrocuadrado.com/proyecto/triala/22164-C0003-02,8,19.375,51.666666666666664,24025.0,1,1,8180457.298484682,182000941.208413,689757190.231884,54.812748790522356,3.7898550724637676,84.31768115942027,22.248260038240918,21.000788888926156
casa,1300000000,293.0,5,4,2,la castellana,6.240033149719238,-75.60470581054688,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-castellana-5-habitaciones-4-banos-2-garajes/13297-M6433937,11,26.636363636363637,58.6,85849.0,4,1,5980548.623404115,125360248.44720496,813830645.1612903,40.07236971762892,6.491935483870968,136.07959677419353,20.961329192546582,20.527000336334403
apartamento,750000000,96.0,3,2,1,laureles,6.246617317199707,-75.59284973144531,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-2-banos-1-garajes/13297-M6474398,6,16.0,32.0,9216.0,1,1,6460195.111687219,127370563.38028169,634618245.6140351,43.286217246102424,4.982456140350878,98.23515151515151,19.716209987195903,20.668615533018688
apartamento,890000000,120.0,3,3,1,la castellana,6.23979377746582,-75.60426330566406,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-castellana-3-habitaciones-3-banos-1-garajes/13297-M6473566,7,17.142857142857142,40.0,14400.0,1,1,5980548.623404115,125360248.44720496,813830645.1612903,40.07236971762892,6.491935483870968,136.07959677419353,20.961329192546582,20.527000336334403
apartamento,1100000000,212.0,3,3,2,los conquistadores,6.2413864259,-75.5808025372,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-conquistadores-3-habitaciones-3-banos-2-garajes/21328-M6358403,8,26.5,70.66666666666667,44944.0,4,1,6476873.42764937,125414307.0539419,702903441.8604652,43.39796947580378,5.604651162790698,108.52511627906978,19.363402489626555,20.536286526593017
apartamento,980000000,138.1,3,3,4,el diamante no.2,6.1839777,-75.5758839,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-frontera-3-habitaciones-3-banos-4-garajes/21634-M6316447,10,13.809999999999999,46.03333333333333,19071.609999999997,16,1,6938903.1868942855,145274509.80392158,617416666.6666666,46.49377698425788,4.249999999999999,88.979,20.93623529411765,20.736766307719375
apartamento,635000000,91.0,3,2,1,los naranjos,6.196277618408203,-75.56533813476562,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-3-habitaciones-2-banos-1-garajes/687-M6481307,6,15.166666666666666,30.333333333333332,8281.0,1,1,7138176.074295598,165344669.11764705,673259730.5389222,47.82899509240857,4.07185628742515,94.31817365269463,23.163433823529413,20.949477614086128
apartamento,1300000000,106.0,2,3,2,altos del poblado,6.21711969,-75.55599864,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/11976-M6343239,7,15.142857142857142,53.0,11236.0,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
casa,1900000000,294.0,4,5,2,altos del poblado,6.207964897155762,-75.55245208740234,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-4-habitaciones-5-banos-2-garajes/21888-M6354152,11,26.727272727272727,73.5,86436.0,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
apartamento,1250000000,106.0,3,3,2,el castillo,6.1908765,-75.5725695,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-castillo-3-habitaciones-3-banos-2-garajes/11976-M6476134,8,13.25,35.333333333333336,11236.0,4,1,8180457.298484682,182000941.208413,689757190.231884,54.812748790522356,3.7898550724637676,84.31768115942027,22.248260038240918,21.000788888926156
casa,1850000000,293.0,4,4,2,el tesoro,6.199039459228516,-75.55764770507812,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-4-banos-2-garajes/687-M5779324,10,29.3,73.25,85849.0,4,1,7388640.035243283,181116061.45251396,714091960.352423,49.50721645236209,3.94273127753304,96.64727973568282,24.51277374301676,21.10447414707314
casa,1950000000,400.0,4,5,2,el tesoro,6.206873893737793,-75.55277252197266,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-5-banos-2-garajes/21615-M6288173,11,36.36363636363637,100.0,160000.0,4,1,7388640.035243283,181116061.45251396,714091960.352423,49.50721645236209,3.94273127753304,96.64727973568282,24.51277374301676,21.10447414707314
casa,1600000000,267.0,4,5,2,altos del poblado,6.210031032562256,-75.55349731445312,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-4-habitaciones-5-banos-2-garajes/21888-M6354894,11,24.272727272727273,66.75,71289.0,4,1,8653962.51464445,175092749.76961708,706133545.2734177,57.985447029430716,4.0329113924050635,81.59655696202532,20.23266792215945,20.991095029848776
apartamento,1655000000,192.0,3,5,2,el tesoro,6.205447038,-75.559593038,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-tesoro-3-habitaciones-5-banos-2-garajes/11976-M6370433,10,19.2,64.0,36864.0,4,1,7388640.035243283,181116061.45251396,714091960.352423,49.50721645236209,3.94273127753304,96.64727973568282,24.51277374301676,21.10447414707314
