barrio,barrio_1,precio,area,habitaciones,baños,parqueaderos,tipo,latitud,longitud,url
COLOMBIA,COLOMBIA,1056319834,99.8,3,3,1,Apartamento,6.228054,-75.57034,https://www.metrocuadrado.com/proyecto/avenida-central/16771-C0023-02
AVENIDA EL POBLADO,AVENIDA EL POBLADO,947005000,96.0,3,2,1,Apartamento,6.2290535,-75.569664,https://www.metrocuadrado.com/proyecto/poblado-central/16771-C0024-03
JARDINES DEL RIO,JARDINES DEL RIO,1016800000,64.0,2,2,0,Apartamento,6.21863,-75.57319,https://www.metrocuadrado.com/proyecto/arrayan/17855-C0036-04
ELCAMPESTRE,ELCAMPESTRE,2276426049,155.0,3,4,1,Apartamento,6.191648333796311,-75.5752393897273,https://www.metrocuadrado.com/proyecto/triala/22164-C0003-02
El Poblado,EL POBLADO,800000000,82.0,3,2,2,Apartamento,0.0042185977,0.0023203814,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-poblado-3-habitaciones-2-banos-2-garajes/22123-M6469334
El Nogal,EL NOGAL,760000000,78.69,2,2,1,Apartamento,6.1674174334,-75.6234200631,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-nogal-2-habitaciones-2-banos-1-garajes/17365-M6320167
LAURELES,LA CASTELLANA,1300000000,293.0,5,4,2,Casa,6.240033149719238,-75.60470581054688,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-la-castellana-5-habitaciones-4-banos-2-garajes/13297-M6433937
LAURELES,LAURELES,750000000,96.0,3,2,1,Apartamento,6.246617317199707,-75.59284973144531,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-laureles-3-habitaciones-2-banos-1-garajes/13297-M6474398
LAURELES LA CASTELLANA,LA CASTELLANA,890000000,120.0,3,3,1,Apartamento,6.23979377746582,-75.60426330566406,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-la-castellana-3-habitaciones-3-banos-1-garajes/13297-M6473566
Conquistadores,CONQUISTADORES,1100000000,212.0,3,3,2,Apartamento,6.2413864259,-75.5808025372,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-conquistadores-3-habitaciones-3-banos-2-garajes/21328-M6358403
Las Palmas,LAS PALMAS,5000000000,627.0,4,4,4,Casa,6.1764501,-75.538717,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-las-palmas-4-habitaciones-4-banos-4-garajes/21328-M6102736
Santa Elena,SANTA ELENA,2300000000,350.0,3,3,2,Casa,5.68622,-75.10621,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-santa-elena-3-habitaciones-3-banos-2-garajes/17017-M6460208
Poblado  Frontera,POBLADO  FRONTERA,980000000,138.1,3,3,4,Apartamento,6.1839777,-75.5758839,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-poblado-frontera-3-habitaciones-3-banos-4-garajes/21634-M6316447
El Playon De Los Comunieros,EL PLAYON DE LOS COMUNIEROS,180000000,60.0,3,2,1,Apartamento,6.30757,-75.55409,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-playon-de-los-comunieros-3-habitaciones-2-banos-1-garajes/22186-M6452412
EL POBLADO,LOS NARANJOS,635000000,91.0,3,2,1,Apartamento,6.196277618408203,-75.56533813476562,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-los-naranjos-3-habitaciones-2-banos-1-garajes/687-M6481307
EL POBLADO,EL TESORO,5000000000,400.0,4,4,4,Casa,6.203914642333984,-75.55549621582031,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-4-banos-4-garajes/687-M5722876
Altos Del Poblado,ALTOS DEL POBLADO,1300000000,106.0,2,3,2,Apartamento,6.21711969,-75.55599864,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-altos-del-poblado-2-habitaciones-3-banos-2-garajes/11976-M6343239
ALTOS DEL POBLADO,ALTOS DEL POBLADO,1900000000,294.0,4,5,2,Casa,6.207964897155762,-75.55245208740234,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-altos-del-poblado-4-habitaciones-5-banos-2-garajes/21888-M6354152
Los Balsos,EL CASTILLO,1250000000,106.0,3,3,2,Apartamento,6.1908765,-75.5725695,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-el-castillo-3-habitaciones-3-banos-2-garajes/11976-M6476134
EL POBLADO,EL TESORO,1850000000,293.0,4,4,2,Casa,6.199039459228516,-75.55764770507812,https://www.metrocuadrado.com/inmueble/venta-casa-medellin-el-tesoro-4-habitaciones-4-banos-2-garajes/687-M5779324
El Poblado,NA,400000000,27.0,1,1,1,Apartamento,0.0,0.0,https://www.metrocuadrado.com/inmueble/venta-apartamento-medellin-na-1-habitaciones-1-banos-1-garajes/20019-M6374610
